new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,filled,work,travle_type
0,0,0,6.46447,10,10,10,0,0,0,0,pre-pattern
0,0,0,10,60,60,60,0,0,0,1,drawn_seg
0,0,0,60,63.5355,63.5355,63.5355,0,0,0,0,post-pattern
0,0,0,63.5355,6.46447,6.46447,6.46447,0,0,0,0,travel
1,1,0,6.46447,60,10,10,0,0,0,0,pre-pattern
1,1,0,60,110,10,110,0,0,0,1,drawn_seg
1,1,0,10,113.536,6.46447,113.536,0,0,0,0,post-pattern
1,1,0,6.46447,113.536,56.4645,113.536,0,0,0,0,travel
2,2,0,56.4645,110,60,110,0,0,0,0,pre-pattern
2,2,0,60,10,160,10,0,0,0,1,drawn_seg
2,2,0,160,6.46447,163.536,6.46447,0,0,0,0,post-pattern
2,2,0,163.536,106.464,163.536,106.464,0,0,0,0,travel
3,3,0,163.536,110,160,110,0,0,0,0,pre-pattern
3,3,0,160,160,110,160,0,0,0,1,drawn_seg
3,3,0,110,163.536,106.464,163.536,0,0,0,0,post-pattern
3,3,0,106.464,156.464,106.464,156.464,0,0,0,0,travel
4,4,0,106.464,160,110,160,0,0,0,0,pre-pattern
4,4,0,110,160,160,210,0,0,0,1,drawn_seg
4,4,0,110,163.536,106.464,163.536,0,0,0,0,post-pattern
4,4,0,106.464,156.096,53.1235,156.096,0,0,0,0,travel
5,5,0,53.1235,210,50,160,0,0,0,0,pre-pattern
5,5,0,110,210,60,210,0,0,0,1,drawn_seg
5,5,0,60,210,55,210,0,0,0,0,post-pattern
5,5,0,55,205,60,205,0,0,0,0,travel
6,6,0,60,200,60,200,0,0,0,0,pre-pattern
6,6,0,60,160,60,160,0,0,0,1,drawn_seg
6,6,0,60,155,60,155,0,0,0,0,post-pattern
6,6,0,60,156.096,53.1235,156.096,0,0,0,0,travel
7,7,0,53.1235,160,50,160,0,0,0,0,pre-pattern
7,7,0,50,210,10,210,0,0,0,1,drawn_seg
8,8,0,10,,6.87652,213.904,0,0,0,0,post-pattern
